"video_id","word","n","totalVideo","freqVideo","date","title","viewCount","likeCount","dislikeCount","commentCount","source"
"XSg9Xc3ie_A","skin",1,1,1,2018-03-13,"Rosie Huntington-Whiteley's Guide to Perfect Baby Skin | Beauty Secrets | Vogue",1536499,35037,505,948,"Vogue"
"XSg9Xc3ie_A","vogue",1,1,1,2018-03-13,"Rosie Huntington-Whiteley's Guide to Perfect Baby Skin | Beauty Secrets | Vogue",1536499,35037,505,948,"Vogue"
"XSg9Xc3ie_A","whiteley's",1,1,1,2018-03-13,"Rosie Huntington-Whiteley's Guide to Perfect Baby Skin | Beauty Secrets | Vogue",1536499,35037,505,948,"Vogue"
"yjP1WBklZnc","2016",1,1,1,2016-12-05,"Victoria’s Secret Angels Sleepover: Taylor Hill, Jasmine Tookes, and More Prep for the 2016 Show",882985,14996,154,333,"Vogue"
"yjP1WBklZnc","angels",1,1,1,2016-12-05,"Victoria’s Secret Angels Sleepover: Taylor Hill, Jasmine Tookes, and More Prep for the 2016 Show",882985,14996,154,333,"Vogue"
"yjP1WBklZnc","hill",1,1,1,2016-12-05,"Victoria’s Secret Angels Sleepover: Taylor Hill, Jasmine Tookes, and More Prep for the 2016 Show",882985,14996,154,333,"Vogue"
"yjP1WBklZnc","jasmine",1,1,1,2016-12-05,"Victoria’s Secret Angels Sleepover: Taylor Hill, Jasmine Tookes, and More Prep for the 2016 Show",882985,14996,154,333,"Vogue"
"yjP1WBklZnc","prep",1,1,1,2016-12-05,"Victoria’s Secret Angels Sleepover: Taylor Hill, Jasmine Tookes, and More Prep for the 2016 Show",882985,14996,154,333,"Vogue"
"yjP1WBklZnc","secret",1,1,1,2016-12-05,"Victoria’s Secret Angels Sleepover: Taylor Hill, Jasmine Tookes, and More Prep for the 2016 Show",882985,14996,154,333,"Vogue"
"yjP1WBklZnc","sleepover",1,1,1,2016-12-05,"Victoria’s Secret Angels Sleepover: Taylor Hill, Jasmine Tookes, and More Prep for the 2016 Show",882985,14996,154,333,"Vogue"
"yjP1WBklZnc","taylor",1,1,1,2016-12-05,"Victoria’s Secret Angels Sleepover: Taylor Hill, Jasmine Tookes, and More Prep for the 2016 Show",882985,14996,154,333,"Vogue"
"yjP1WBklZnc","tookes",1,1,1,2016-12-05,"Victoria’s Secret Angels Sleepover: Taylor Hill, Jasmine Tookes, and More Prep for the 2016 Show",882985,14996,154,333,"Vogue"
"yjP1WBklZnc","victoria’s",1,1,1,2016-12-05,"Victoria’s Secret Angels Sleepover: Taylor Hill, Jasmine Tookes, and More Prep for the 2016 Show",882985,14996,154,333,"Vogue"
"Zztw2nc_ERw","dreams",1,1,1,2018-05-08,"Nick Jonas Gets Met Gala Ready: Push-ups, Pizza, and Dreams of Rihanna | Vogue",576880,18053,178,686,"Vogue"
"Zztw2nc_ERw","gala",1,1,1,2018-05-08,"Nick Jonas Gets Met Gala Ready: Push-ups, Pizza, and Dreams of Rihanna | Vogue",576880,18053,178,686,"Vogue"
