"video_id","word","n","totalVideo","freqVideo","date","title","viewCount","likeCount","dislikeCount","commentCount","source","totalSource","freqSource"
"anhEcKWRzyE","runway",1,1,1,2017-10-16,"Road to the Runway: Episode 1 – Castings",2156737,37556,569,1656,"VS",803,0.0012453300124533
"b5A36JAUdb0","2016",1,1,1,2016-12-13,"Santa Baby: Victoria’s Secret Holiday 2016",957857,9544,191,565,"VS",803,0.0012453300124533
"b5A36JAUdb0","baby",1,1,1,2016-12-13,"Santa Baby: Victoria’s Secret Holiday 2016",957857,9544,191,565,"VS",803,0.0012453300124533
"b5A36JAUdb0","holiday",1,1,1,2016-12-13,"Santa Baby: Victoria’s Secret Holiday 2016",957857,9544,191,565,"VS",803,0.0012453300124533
"b5A36JAUdb0","santa",1,1,1,2016-12-13,"Santa Baby: Victoria’s Secret Holiday 2016",957857,9544,191,565,"VS",803,0.0012453300124533
"b5A36JAUdb0","secret",1,1,1,2016-12-13,"Santa Baby: Victoria’s Secret Holiday 2016",957857,9544,191,565,"VS",803,0.0012453300124533
"b5A36JAUdb0","victoria’s",1,1,1,2016-12-13,"Santa Baby: Victoria’s Secret Holiday 2016",957857,9544,191,565,"VS",803,0.0012453300124533
"dGNuCUuoD7s","5",1,1,1,2017-11-13,"Road to the Runway: Episode 5 —VS x BALMAIN",599152,9502,80,302,"VS",803,0.0012453300124533
"dGNuCUuoD7s","balmain",1,1,1,2017-11-13,"Road to the Runway: Episode 5 —VS x BALMAIN",599152,9502,80,302,"VS",803,0.0012453300124533
"dGNuCUuoD7s","episode",1,1,1,2017-11-13,"Road to the Runway: Episode 5 —VS x BALMAIN",599152,9502,80,302,"VS",803,0.0012453300124533
"dGNuCUuoD7s","road",1,1,1,2017-11-13,"Road to the Runway: Episode 5 —VS x BALMAIN",599152,9502,80,302,"VS",803,0.0012453300124533
"dGNuCUuoD7s","runway",1,1,1,2017-11-13,"Road to the Runway: Episode 5 —VS x BALMAIN",599152,9502,80,302,"VS",803,0.0012453300124533
"gNG7YjhYPgY","2016",1,1,1,2016-12-12,"The 2016 Victoria’s Secret Fashion Show: The Angels on Social Media",196065,4366,55,96,"VS",803,0.0012453300124533
"gNG7YjhYPgY","angels",1,1,1,2016-12-12,"The 2016 Victoria’s Secret Fashion Show: The Angels on Social Media",196065,4366,55,96,"VS",803,0.0012453300124533
"gNG7YjhYPgY","fashion",1,1,1,2016-12-12,"The 2016 Victoria’s Secret Fashion Show: The Angels on Social Media",196065,4366,55,96,"VS",803,0.0012453300124533
"gNG7YjhYPgY","media",1,1,1,2016-12-12,"The 2016 Victoria’s Secret Fashion Show: The Angels on Social Media",196065,4366,55,96,"VS",803,0.0012453300124533
"gNG7YjhYPgY","secret",1,1,1,2016-12-12,"The 2016 Victoria’s Secret Fashion Show: The Angels on Social Media",196065,4366,55,96,"VS",803,0.0012453300124533
"gNG7YjhYPgY","social",1,1,1,2016-12-12,"The 2016 Victoria’s Secret Fashion Show: The Angels on Social Media",196065,4366,55,96,"VS",803,0.0012453300124533
"gNG7YjhYPgY","victoria’s",1,1,1,2016-12-12,"The 2016 Victoria’s Secret Fashion Show: The Angels on Social Media",196065,4366,55,96,"VS",803,0.0012453300124533
"kcBCOPa3ttQ","bra",1,1,1,2017-11-01,"The Fantasy Bra: Lais Gets The Big News!",389424,10171,70,615,"VS",803,0.0012453300124533
"kcBCOPa3ttQ","fantasy",1,1,1,2017-11-01,"The Fantasy Bra: Lais Gets The Big News!",389424,10171,70,615,"VS",803,0.0012453300124533
"kcBCOPa3ttQ","lais",1,1,1,2017-11-01,"The Fantasy Bra: Lais Gets The Big News!",389424,10171,70,615,"VS",803,0.0012453300124533
"kcBCOPa3ttQ","news",1,1,1,2017-11-01,"The Fantasy Bra: Lais Gets The Big News!",389424,10171,70,615,"VS",803,0.0012453300124533
"L4fXil1ZjjA","commercial",1,1,1,2016-12-01,"Victoria’s Secret Holiday Commercial: A Night At The Opera",2107494,10452,307,645,"VS",803,0.0012453300124533
"L4fXil1ZjjA","holiday",1,1,1,2016-12-01,"Victoria’s Secret Holiday Commercial: A Night At The Opera",2107494,10452,307,645,"VS",803,0.0012453300124533
"L4fXil1ZjjA","night",1,1,1,2016-12-01,"Victoria’s Secret Holiday Commercial: A Night At The Opera",2107494,10452,307,645,"VS",803,0.0012453300124533
"L4fXil1ZjjA","opera",1,1,1,2016-12-01,"Victoria’s Secret Holiday Commercial: A Night At The Opera",2107494,10452,307,645,"VS",803,0.0012453300124533
"L4fXil1ZjjA","secret",1,1,1,2016-12-01,"Victoria’s Secret Holiday Commercial: A Night At The Opera",2107494,10452,307,645,"VS",803,0.0012453300124533
"L4fXil1ZjjA","victoria’s",1,1,1,2016-12-01,"Victoria’s Secret Holiday Commercial: A Night At The Opera",2107494,10452,307,645,"VS",803,0.0012453300124533
"lzsHrxgBRzQ","2017",1,1,1,2017-11-02,"Behind The Scenes: 2017 Victoria’s Secret Fantasy Bra",753616,14443,114,643,"VS",803,0.0012453300124533
"lzsHrxgBRzQ","bra",1,1,1,2017-11-02,"Behind The Scenes: 2017 Victoria’s Secret Fantasy Bra",753616,14443,114,643,"VS",803,0.0012453300124533
"lzsHrxgBRzQ","fantasy",1,1,1,2017-11-02,"Behind The Scenes: 2017 Victoria’s Secret Fantasy Bra",753616,14443,114,643,"VS",803,0.0012453300124533
"lzsHrxgBRzQ","scenes",1,1,1,2017-11-02,"Behind The Scenes: 2017 Victoria’s Secret Fantasy Bra",753616,14443,114,643,"VS",803,0.0012453300124533
"lzsHrxgBRzQ","secret",1,1,1,2017-11-02,"Behind The Scenes: 2017 Victoria’s Secret Fantasy Bra",753616,14443,114,643,"VS",803,0.0012453300124533
"lzsHrxgBRzQ","victoria’s",1,1,1,2017-11-02,"Behind The Scenes: 2017 Victoria’s Secret Fantasy Bra",753616,14443,114,643,"VS",803,0.0012453300124533
"MGzNEPtwM6w","6",1,1,1,2017-11-20,"Road to the Runway: Episode 6 - Fittings",541276,9133,66,298,"VS",803,0.0012453300124533
"MGzNEPtwM6w","episode",1,1,1,2017-11-20,"Road to the Runway: Episode 6 - Fittings",541276,9133,66,298,"VS",803,0.0012453300124533
"MGzNEPtwM6w","fittings",1,1,1,2017-11-20,"Road to the Runway: Episode 6 - Fittings",541276,9133,66,298,"VS",803,0.0012453300124533
"MGzNEPtwM6w","road",1,1,1,2017-11-20,"Road to the Runway: Episode 6 - Fittings",541276,9133,66,298,"VS",803,0.0012453300124533
"MGzNEPtwM6w","runway",1,1,1,2017-11-20,"Road to the Runway: Episode 6 - Fittings",541276,9133,66,298,"VS",803,0.0012453300124533
"mKYxly3rHP8","8",1,1,1,2017-11-28,"Road To The Runway: Episode 8 – It’s Showtime!",570715,9947,71,385,"VS",803,0.0012453300124533
"mKYxly3rHP8","episode",1,1,1,2017-11-28,"Road To The Runway: Episode 8 – It’s Showtime!",570715,9947,71,385,"VS",803,0.0012453300124533
"mKYxly3rHP8","it’s",1,1,1,2017-11-28,"Road To The Runway: Episode 8 – It’s Showtime!",570715,9947,71,385,"VS",803,0.0012453300124533
"mKYxly3rHP8","road",1,1,1,2017-11-28,"Road To The Runway: Episode 8 – It’s Showtime!",570715,9947,71,385,"VS",803,0.0012453300124533
"mKYxly3rHP8","runway",1,1,1,2017-11-28,"Road To The Runway: Episode 8 – It’s Showtime!",570715,9947,71,385,"VS",803,0.0012453300124533
"mKYxly3rHP8","showtime",1,1,1,2017-11-28,"Road To The Runway: Episode 8 – It’s Showtime!",570715,9947,71,385,"VS",803,0.0012453300124533
"N5ohLjqd6AM","2u",1,1,1,2017-06-09,"Victoria’s Secret Angels Lip Sync “2U” by David Guetta & Justin Bieber",1445368,25401,497,1063,"VS",803,0.0012453300124533
"N5ohLjqd6AM","angels",1,1,1,2017-06-09,"Victoria’s Secret Angels Lip Sync “2U” by David Guetta & Justin Bieber",1445368,25401,497,1063,"VS",803,0.0012453300124533
"N5ohLjqd6AM","bieber",1,1,1,2017-06-09,"Victoria’s Secret Angels Lip Sync “2U” by David Guetta & Justin Bieber",1445368,25401,497,1063,"VS",803,0.0012453300124533
"N5ohLjqd6AM","david",1,1,1,2017-06-09,"Victoria’s Secret Angels Lip Sync “2U” by David Guetta & Justin Bieber",1445368,25401,497,1063,"VS",803,0.0012453300124533
"N5ohLjqd6AM","guetta",1,1,1,2017-06-09,"Victoria’s Secret Angels Lip Sync “2U” by David Guetta & Justin Bieber",1445368,25401,497,1063,"VS",803,0.0012453300124533
"N5ohLjqd6AM","justin",1,1,1,2017-06-09,"Victoria’s Secret Angels Lip Sync “2U” by David Guetta & Justin Bieber",1445368,25401,497,1063,"VS",803,0.0012453300124533
"N5ohLjqd6AM","lip",1,1,1,2017-06-09,"Victoria’s Secret Angels Lip Sync “2U” by David Guetta & Justin Bieber",1445368,25401,497,1063,"VS",803,0.0012453300124533
"N5ohLjqd6AM","secret",1,1,1,2017-06-09,"Victoria’s Secret Angels Lip Sync “2U” by David Guetta & Justin Bieber",1445368,25401,497,1063,"VS",803,0.0012453300124533
"N5ohLjqd6AM","sync",1,1,1,2017-06-09,"Victoria’s Secret Angels Lip Sync “2U” by David Guetta & Justin Bieber",1445368,25401,497,1063,"VS",803,0.0012453300124533
"N5ohLjqd6AM","victoria’s",1,1,1,2017-06-09,"Victoria’s Secret Angels Lip Sync “2U” by David Guetta & Justin Bieber",1445368,25401,497,1063,"VS",803,0.0012453300124533
"pmCNHBbrwTo","1",1,1,1,2016-10-25,"The Making Of The 2016 Victoria’s Secret Fashion Show: Part 1",800307,11380,87,745,"VS",803,0.0012453300124533
